,station_id,year,month,data_variable,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1679,MX000017004,2010,04,PRCP,MX000017004201004PRCP,0,S-9999,0,S-9999,-9999,0,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,S-9999,-9999,0,S-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,MX000017004,2010,05,TMAX-9999,MX000017004201005TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,332,S-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,MX000017004,2010,05,TMIN-9999,MX000017004201005TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,182,S-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,MX000017004,2010,05,PRCP-9999,MX000017004201005PRCP-9999,-9999,-9999,0,S-9999,0,S-9999,0,S-9999,-9999,0,S-9999,0,S-9999,-9999,-9999,-9999,0,S-9999,0,S-9999,-9999,-9999,-9999,-9999,-9999,0,S-9999,25,S,0,S-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,MX000017004,2010,06,TMAX-9999,MX000017004201006TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,280,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,301,S-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,MX000017004,2010,06,TMIN-9999,MX000017004201006TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,175,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180,S-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,MX000017004,2010,06,PRCP,MX000017004201006PRCP,0,S,0,S,0,S,0,S,0,S-9999,-9999,13,S,203,S,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S,0,S,145,S,0,S,234,S-9999,0,S,13,S,18,S,0,S,0,S,0,S,0,S-9999,,,,,,,,,,
1686,MX000017004,2010,07,TMAX-9999,MX000017004201007TMAX-9999,-9999,286,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,299,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,MX000017004,2010,07,TMIN-9999,MX000017004201007TMIN-9999,-9999,175,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,165,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,MX000017004,2010,07,PRCP-9999,MX000017004201007PRCP-9999,-9999,307,S,0,S-9999,76,S,0,S-9999,-9999,-9999,-9999,-9999,0,S,0,S,0,S,0,S,147,S,0,S-9999,5,S,0,S,58,S,0,S-9999,-9999,-9999,0,S,43,S,0,S,112,S,0,S,,,,,,,,,,,,,,,,,
1689,MX000017004,2010,08,TMAX-9999,MX000017004201008TMAX-9999,-9999,-9999,-9999,296,S-9999,-9999,290,S-9999,-9999,-9999,-9999,298,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,264,S-9999,297,S-9999,-9999,-9999,280,S-9999,254,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,MX000017004,2010,08,TMIN-9999,MX000017004201008TMIN-9999,-9999,-9999,-9999,158,S-9999,-9999,173,S-9999,-9999,-9999,-9999,165,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,150,S-9999,156,S-9999,-9999,-9999,153,S-9999,154,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,MX000017004,2010,08,PRCP-9999,MX000017004201008PRCP-9999,-9999,-9999,-9999,38,S,5,S-9999,239,S,0,S,180,S-9999,168,S,168,S,185,S,0,S-9999,132,S,193,S-9999,117,S,51,S,145,S,0,S,0,S,0,S,432,S-9999,64,S,188,S,0,S,0,S,,,,,,,,,,,,,,,
1692,MX000017004,2010,09,PRCP,MX000017004201009PRCP,185,S,56,S,13,S,175,S,0,S,277,S,0,S,345,S,391,S,353,S,23,S,0,S-9999,119,S,0,S-9999,48,S,10,S,0,S,361,S,0,S,0,S,15,S,147,S,18,S,0,S,0,S,0,S,0,S,0,S-9999,,,,,,
1693,MX000017004,2010,10,TMAX-9999,MX000017004201010TMAX-9999,-9999,-9999,-9999,270,S-9999,281,S-9999,-9999,-9999,-9999,-9999,-9999,295,S,287,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,312,S-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,MX000017004,2010,10,TMIN-9999,MX000017004201010TMIN-9999,-9999,-9999,-9999,140,S-9999,129,S-9999,-9999,-9999,-9999,-9999,-9999,130,S,105,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,150,S-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,MX000017004,2010,10,PRCP,MX000017004201010PRCP,0,S,0,S-9999,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S,0,S,0,S,,,,,
1696,MX000017004,2010,11,TMAX-9999,MX000017004201011TMAX-9999,313,S-9999,272,S,263,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,281,S,277,S-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,MX000017004,2010,11,TMIN-9999,MX000017004201011TMIN-9999,163,S-9999,120,S,79,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,121,S,142,S-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,MX000017004,2010,11,PRCP,MX000017004201011PRCP,0,S,0,S-9999,0,S,0,S,0,S-9999,0,S,0,S,0,S,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S,0,S,0,S-9999,-9999,0,S-9999,,,,,,,,,,,,,,,
1699,MX000017004,2010,12,TMAX,MX000017004201012TMAX,299,S-9999,-9999,-9999,-9999,278,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,MX000017004,2010,12,TMIN,MX000017004201012TMIN,138,S-9999,-9999,-9999,-9999,105,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,MX000017004,2010,12,PRCP,MX000017004201012PRCP,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S-9999,0,S-9999,0,S-9999,0,S,0,S-9999,-9999,-9999,0,S,0,S,0,S,0,S,,,,,,,,,,,,,,,,
